jdm64;United States;823;21321;1.06;1.02;14626;23.6;1.05;
HS;Estonia;1060;28352;1.02;1.02;20155;49.3;1.09;
bondik;Ukraine;1454;38215;1.06;1.02;26353;47.7;0.97;
MonttY;Slovakia;522;13451;1.04;1.02;9507;46.6;1.07;
mouz;Poland;1696;45068;1.06;1.02;31019;50.2;1.01;
FANAT ROCKA;Russia;465;12150;1.06;1.02;8262;27.1;1.08;
disco doplan;Sweden;1207;32000;1.05;1.02;22193;43.9;1.04;
Tuurtle;Brazil;707;18579;1.04;1.02;13040;54.9;1.1;
Nico;Denmark;399;10074;1.09;1.02;6738;26.0;1.28;
NENO;North Macedonia;647;16756;1.06;1.02;11634;42.4;1.03;
qqGOD;Thailand;584;15180;1.03;1.02;10674;40.9;1.13;
Plopski;Sweden;994;26350;1.05;1.02;18315;41.6;1.06;
Xyp9x;Denmark;1934;50382;1.08;1.02;33274;41.6;0.97;
MoeycQ;Australia;639;16594;1.04;1.02;11650;36.9;1.04;
Spongey;United States;782;20344;1.08;1.02;13495;50.7;0.94;
v1c7oR;Bulgaria;1859;48493;1.04;1.02;33791;46.3;1.1;
apEX;France;1953;51220;1.02;1.02;36577;51.8;1.09;
spaze;Russia;538;14117;1.01;1.02;10281;52.0;1.04;
Goofy;Poland;1101;29782;1.02;1.02;21027;41.2;1.12;
b0denmaster;Sweden;489;13074;1.05;1.02;8954;33.7;1.12;
mar;Bulgaria;724;19174;1.03;1.02;13419;48.5;1.08;
Ace;United States;456;11866;1.08;1.02;7922;31.4;1.03;
Markoś;Poland;666;17918;1.07;1.02;12079;29.6;1.03;
dimasick;Kazakhstan;585;15322;1.04;1.02;10747;49.1;1.03;
yel;Brazil;927;23986;1.07;1.02;16210;29.8;1.06;
iDk;Brazil;832;21692;1.04;1.02;15092;47.0;1.09;
queztone;Slovakia;709;18569;1.02;1.02;13135;44.7;1.06;
ROBO;Belarus;667;17746;1.05;1.02;12328;45.6;1.04;
steel;Canada;617;16290;1.02;1.02;11498;45.7;1.16;
TENZKI;Denmark;1494;39305;1.05;1.02;26979;52.9;1.03;
fr0slev;Denmark;611;15973;1.04;1.02;11143;48.0;1.02;
LETN1;Serbia;1111;28880;1.06;1.02;19347;49.6;1.03;
fox;Portugal;1057;27606;1.03;1.02;19440;32.0;1.18;
n0thing;United States;813;21021;1.03;1.02;14720;52.6;1.01;
SKYTTEN;Sweden;382;10157;1.05;1.02;7087;45.2;1.06;
roseau;Indonesia;412;10376;1.02;1.02;7419;40.4;1.15;
roca;United States;660;17324;1.02;1.02;12336;51.4;1.06;
flickz;Australia;461;11606;1.05;1.02;7976;48.3;1.05;
xCeeD;United States;435;11264;1.02;1.02;7858;44.1;1.1;
Jyo;Estonia;1163;31088;1.05;1.01;21200;40.7;1.04;
chrisJ;Netherlands;1727;45400;1.04;1.01;31011;41.5;1.02;
aproto;United States;383;10053;1.01;1.01;7153;57.8;1.03;
Nodios;Denmark;718;19257;1.04;1.01;13132;53.9;1.0;
bedonka;Australia;379;9815;1.02;1.01;6857;53.7;1.07;
es3tag;Denmark;1291;33835;1.03;1.01;23231;35.6;1.08;
Voltage;United States;420;10848;1.08;1.01;7099;28.5;0.98;
delboNi;Brazil;514;13313;1.03;1.01;9153;44.8;0.98;
Kylar;Poland;577;15557;1.03;1.01;10655;58.9;1.02;
byali;Poland;1841;48359;1.04;1.01;33745;51.6;1.0;
GruBy;Poland;1644;43738;1.03;1.01;30241;42.5;1.05;
